,Region,Year,Estimate,Forest Area,Agri %land area,GDP per capita,Protected areas %land,estimate,se,df,t.stat,p.value,lower.ci,upper.ci
23,Eastern Africa,2010,369.6666666666667,13.028571428571427,60.85940728052641,758.4737543257188,,0.49923218799999997,0.06405425099999999,166,7.793896204,6.759999999999999e-13,0.39387232,0.604592055
24,Eastern Africa,2011,,12.833333333333334,59.85397632206635,811.9661192690479,,0.6273611060000001,0.060122996,166,10.43462808,6.43e-20,0.528467577,0.726254634
25,Eastern Africa,2012,2963.777777777778,9.984615384615385,54.4407900904573,998.66668123586,,0.593494596,0.057453829000000005,166,10.32993988,1.25e-19,0.498991457,0.6879977340000001
26,Eastern Africa,2013,288.4,10.97777777777778,53.30961633271146,976.0520174615145,,0.550685151,0.060326656,166,9.128388475,2.3e-16,0.451456632,0.649913669
27,Eastern Africa,2014,1711.2136752136753,9.002564102564099,47.58787857785406,1068.5834083576403,,0.49387195899999997,0.067263356,166,7.342362777999999,8.939999999999999e-12,0.383233585,0.604510334
28,Eastern Africa,2015,1380.3285714285714,9.892063492063494,49.20006855374725,1000.2843083677535,,0.454984231,0.066533972,166,6.8383747370000005,1.46e-10,0.34554558700000004,0.564422876
29,Eastern Africa,2016,,12.433333333333332,60.05688091320275,787.524724600791,13.275465456791455,0.333319758,0.06819979,166,4.8874015019999995,2.39e-06,0.22114108600000001,0.44549843100000003
30,Eastern Africa,2017,,,,840.8266893288655,14.798321955992176,0.233990886,0.06144532900000001,166,3.8081151330000003,0.00019679799999999998,0.132922314,0.335059457
31,Eastern Africa,2018,,,,879.0139353402623,14.798321955992176,0.320065166,0.064322932,166,4.975910715,1.61e-06,0.21426335800000001,0.425866973
32,Southern Africa,2003,,,50.709472422770816,1641.2937228294245,,0.283559639,0.10242485800000001,116,2.768465052,0.006558481,0.11508574,0.45203353700000004
33,Southern Africa,2004,,,50.810307017723254,2030.6193423286716,,0.295678806,0.085320491,116,3.4655075419999997,0.000742739,0.155339086,0.436018525
34,Southern Africa,2005,,35.6,51.13898713964787,2295.550691582707,,0.281492593,0.070920437,116,3.9691322089999996,0.00012542399999999998,0.164838854,0.39814633200000005
35,Southern Africa,2006,,,51.305217464383745,2491.2638448688717,,0.344458142,0.071140114,116,4.841967836,4e-06,0.227443068,0.461473215
36,Southern Africa,2007,,,50.91629906609448,2721.9833710253915,,0.35042799,0.07794482700000001,116,4.49584667,1.65e-05,0.22222015899999997,0.47863582200000004
37,Southern Africa,2008,1177.75,,50.768719387821044,2436.9789135710607,,0.365168667,0.077761821,116,4.6959891460000005,7.34e-06,0.237261854,0.49307548100000004
38,Southern Africa,2009,114.0,,51.86343427585187,2674.510538657092,,0.442681767,0.066785625,116,6.62839899,1.1199999999999999e-09,0.33282919,0.5525343429999999
39,Southern Africa,2010,,34.275,52.087290463980025,3257.9466662884765,,0.383927026,0.068970116,116,5.566570681,1.7e-07,0.27048128,0.497372772
40,Southern Africa,2011,235.0,35.75000000000001,54.52409276617602,3119.006768963365,,0.506267884,0.062488192000000005,116,8.101816775,6.14e-13,0.403483955,0.609051814
41,Southern Africa,2012,117.28571428571429,35.43333333333333,57.38661786116601,3333.465147325031,,0.40681979,0.044782239,116,9.084400372000001,3.31e-15,0.333159562,0.480480019
42,Southern Africa,2013,151.85714285714286,34.64615384615385,51.33104133852016,2639.5894473995895,,0.394559089,0.049732003,116,7.933706032999999,1.48e-12,0.312757224,0.476360954
43,Southern Africa,2014,1159.9176470588236,39.27241379310338,47.79534242234912,1463.5095028464543,,0.40176751200000005,0.042923666,116,9.360046621,7.5e-16,0.331164364,0.47237065899999997
44,Southern Africa,2015,2073.872340425532,24.538297872340433,58.66888855530473,4177.223236487541,,0.416599958,0.044598816,116,9.341054307,8.310000000000001e-16,0.343241434,0.489958481
45,Southern Africa,2016,100.0,32.875,52.36895477205259,3037.36817503046,20.748289685378875,0.402904492,0.042962840999999995,116,9.377976087,6.809999999999999e-16,0.332236908,0.473572076
46,Southern Africa,2017,,,,3465.4200553927694,21.133140766712398,0.4760755,0.043301216,116,10.99450657,1.07e-19,0.40485133799999995,0.547299662
47,Southern Africa,2018,,,,3571.4701599618847,21.133140766712398,0.471983414,0.04717705,116,10.00451301,2.3e-17,0.39438407200000003,0.549582757
48,West Africa,2003,,,48.151839015788845,426.4644309273452,,0.213393575,0.15463289,100,1.380001209,0.17066382100000002,0.0,0.467742046
49,West Africa,2004,111.66666666666667,,49.78294526675718,476.2510089564821,,0.34898604200000005,0.128695173,100,2.7117259560000004,0.007880309,0.137301319,0.560670765
50,West Africa,2005,10.0,26.09090909090909,48.71154766413989,521.1814772833641,,0.271060003,0.219527356,100,1.234743623,0.219819403,0.0,0.632150372
51,West Africa,2006,279.3333333333333,,50.241215883397686,638.3362723287701,,0.0,0.340612106,100,-0.009258691,0.992631185,0.0,0.557103435
52,West Africa,2007,50.75,,50.35153677362011,745.4930703121364,,0.8573164240000001,0.17291768,100,4.957945442,2.92e-06,0.572892151,1.0
53,West Africa,2008,,,49.84497643895137,836.8866251221917,,0.83319628,0.151486036,100,5.5001523610000005,2.9199999999999997e-07,0.584023924,1.0
54,West Africa,2009,108.66666666666667,,51.137693623198274,797.9607231924102,,0.79495235,0.11224034599999999,100,7.082589992999999,2.01e-10,0.61033341,0.97957129
55,West Africa,2010,189.0,25.00909090909091,50.27241106681319,828.2927024903792,,0.160994898,0.117063216,100,1.375281693,0.17211729999999997,0.0,0.35354675399999996
56,West Africa,2011,49.333333333333336,23.608333333333334,52.50018512684629,1050.870070327846,,0.8196348379999999,0.130410873,100,6.2850191660000005,8.62e-09,0.60512804,1.0
57,West Africa,2012,598.6666666666666,24.408333333333335,50.30861632968488,936.4831081280705,,0.892632662,0.101092029,100,8.829901524,3.61e-14,0.726351071,1.0
58,West Africa,2013,10.818181818181818,23.685714285714283,49.71021870422012,1009.9817892533061,,0.6611576220000001,0.109387521,100,6.044177782,2.6e-08,0.48123116200000005,0.8410840820000001
59,West Africa,2014,10.0,24.572727272727274,50.83822630835144,1082.9752560594575,,0.895286323,0.09161557699999999,100,9.772206302,3.13e-16,0.744592108,1.0
60,West Africa,2015,578.4166666666666,28.914814814814818,42.827078260389975,891.6983301834299,,0.917755841,0.082329414,100,11.14736275,3.07e-19,0.782336006,1.0
61,West Africa,2016,,24.372727272727275,50.83822630835144,924.7825303224231,13.520816260336916,0.917824704,0.095456082,100,9.615151661,6.91e-16,0.760813422,1.0
62,West Africa,2017,,,,954.4067604318801,13.387027506458134,0.7528924909999999,0.115581839,100,6.5139341470000005,2.98e-09,0.562777283,0.943007699
63,West Africa,2018,,,,1019.1578882155272,13.387027506458132,0.464322247,0.105864921,100,4.385987765,2.8600000000000004e-05,0.29018994800000003,0.6384545460000001
