,Region,Year,Forest Area,GCB,HDI,HER,PIA,LE Score,Reporting Score,Agri %land area,GDP per capita,Protected areas %land,estimate
26,Eastern Africa,2013,10.97777777777778,0.6356300813008129,0.5028772766423931,0.47416825809849067,0.46620129870129856,2.142857142857143,0.5497687798442733,53.30961633271146,936.4022286032294,17.349262375448482,0.550685151
27,Eastern Africa,2014,9.002564102564099,0.6565522943365026,0.5349572324316514,0.5318464286994037,0.4802024446142096,2.135135135135135,0.6497129923967169,47.58787857785406,1062.85608982622,24.4229846370762,0.49387195899999997
28,Eastern Africa,2015,9.892063492063494,0.621388888888889,0.5184761904761908,0.44902777777777814,0.5163013698630137,1.8852459016393444,0.9366088007514706,49.20006855374725,991.9197256139628,15.779339130605871,0.454984231
29,Eastern Africa,2016,12.433333333333332,0.632320460704607,0.4758740544984732,0.3948341051713145,0.4387662337662337,2.25,0.4714642256618961,60.05688091320275,817.3874310504737,13.275465456791455,0.333319758
30,Eastern Africa,2017,12.603413494717847,0.632320460704607,0.4758740544984732,0.3948341051713145,0.4387662337662337,2.25,0.4714642256618961,56.78673864183373,857.3639045965297,13.051942163919172,0.233990886
31,Eastern Africa,2018,12.603413494717847,0.6083333333333333,0.49333333333333335,0.4033333333333333,0.42857142857142855,2.25,0.4714642256618961,56.78673864183373,886.0043391050772,13.051942163919172,0.320065166
32,Southern Africa,2003,33.538785332314745,0.6870974967061924,0.5553729761904762,0.45555238095238093,0.4680555555555556,2.0,1.6183924694468388,50.70947242277081,1641.2937228294247,21.00485707293456,0.283559639
33,Southern Africa,2004,33.538785332314745,0.6870974967061924,0.5553729761904762,0.45555238095238093,0.4680555555555556,2.0,1.6292378228397546,50.81030701772325,2030.6193423286718,21.00485707293456,0.295678806
34,Southern Africa,2005,35.6,0.6870974967061924,0.5553729761904762,0.455552380952381,0.46805555555555545,2.0,1.6809743422352703,51.13898713964787,2295.550691582707,21.00485707293456,0.281492593
35,Southern Africa,2006,33.538785332314745,0.6987103096179184,0.488875,0.4588888888888889,0.46805555555555545,1.8571428571428572,1.6871401384610922,51.305217464383745,2491.2638448688717,21.00485707293456,0.344458142
36,Southern Africa,2007,33.538785332314745,0.6870974967061924,0.5553729761904762,0.45555238095238093,0.4680555555555556,1.8571428571428572,1.6991778938281554,50.91629906609449,2721.983371025391,21.00485707293456,0.35042799
37,Southern Africa,2008,38.27853272217978,0.6649748206704728,0.5405698095238095,0.45787047619047627,0.4741666666666666,1.8888888888888888,1.594152379017049,50.76871938782105,2436.9789135710607,21.94172612902863,0.365168667
38,Southern Africa,2009,33.538785332314745,0.6987103096179184,0.5210000000000001,0.45222222222222225,0.4680555555555556,1.7142857142857142,1.7630636929416799,51.86343427585187,2674.510538657092,21.00485707293456,0.442681767
39,Southern Africa,2010,34.275,0.6870974967061924,0.5553729761904762,0.455552380952381,0.46805555555555545,1.7142857142857142,2.015866642754896,52.087290463980025,3257.9466662884765,21.00485707293456,0.383927026
40,Southern Africa,2011,35.75000000000001,0.6268141094741885,0.522843888888889,0.4524515873015873,0.48370370370370375,1.7272727272727273,1.8863868259181955,54.52409276617602,3119.006768963365,19.30267969096332,0.506267884
41,Southern Africa,2012,35.43333333333333,0.5487247474747475,0.5245000000000001,0.45153846153846156,0.48370370370370375,2.0748663101604277,1.715667950393229,57.38661786116601,3333.465147325031,18.29614731483346,0.40681979
42,Southern Africa,2013,34.64615384615385,0.6630290953008344,0.526280805860806,0.3832630036630037,0.45863636363636356,1.7083333333333333,1.5167085368483215,51.33104133852016,2639.5894473995895,22.418964961245777,0.394559089
43,Southern Africa,2014,39.27241379310338,0.5382986334528304,0.48310709359605913,0.2135450465243571,0.4657254901960787,1.4569083447332445,1.574538859370675,47.79534242234912,1463.5095028464543,23.564437894509542,0.40176751200000005
44,Southern Africa,2015,24.538297872340433,0.7739574468085106,0.6343829787234048,0.5014285714285713,0.45999999999999985,1.9379084967320264,1.9614238558516137,58.66888855530473,4177.223236487541,20.35582541834416,0.416599958
45,Southern Africa,2016,32.875,0.6870974967061924,0.5553729761904762,0.45555238095238093,0.4680555555555556,1.9033613445378152,1.6073487895519336,52.36895477205259,3037.36817503046,20.748289685378875,0.402904492
46,Southern Africa,2017,33.538785332314745,0.6870974967061924,0.5553729761904762,0.455552380952381,0.46805555555555545,1.9033613445378152,1.6073487895519336,49.43936725068286,3465.4200553927694,21.133140766712398,0.4760755
